Officel.Gene.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	g
CALM3	-2.886989983	3.099238981	-2.745383328	0.010884447	0.098350356	-3.324008483	DOWN
POLR1D	-2.913526295	3.791599484	-2.744992135	0.010894432	0.098400015	-3.324854519	DOWN
ARHGAP21	2.197161703	2.697073793	2.743356082	0.010936283	0.098737339	-3.328392106	UP
MOBP	1.848540928	2.255280503	2.742415469	0.010960413	0.098914455	-3.330425454	UP
MARVELD3	2.821571339	3.05646527	2.74215618	0.010967073	0.098933833	-3.330985898	UP
ETV3	-1.225361835	0.766390128	-2.740572133	0.011007846	0.099260794	-3.334409149	DOWN
NCF1	2.503270367	2.173171196	2.739728663	0.011029615	0.099416193	-3.33623152	UP
KRT6B	-1.345284181	0.553787337	-2.739522496	0.011034942	0.099423327	-3.336676911	DOWN
FAM206A	-1.34703405	0.837618625	-2.738220351	0.011068643	0.099685997	-3.33948957	DOWN
LINC00092	1.942203078	1.514136402	2.737894432	0.011077093	0.099721132	-3.340193449	UP
LAS1L	-2.214361988	1.820695876	-2.737511811	0.011087021	0.099728942	-3.341019728	DOWN
CST1	-1.686895966	0.662060727	-2.737510338	0.01108706	0.099728942	-3.34102291	DOWN
ATP5H	-2.54645336	6.359759059	-2.73691143	0.011102617	0.099822416	-3.34231614	DOWN
RABL2B	2.568188914	2.723714216	2.736759804	0.011106559	0.099822416	-3.342643522	UP
NUP50	2.399402871	4.147417003	2.736396111	0.011116019	0.099838713	-3.343428751	UP
ABR	-2.271422931	1.947527417	-2.736339942	0.011117481	0.099838713	-3.343550018	DOWN
CCDC53	-3.163550161	3.77345661	-2.7358149	0.011131154	0.099920563	-3.344683495	DOWN
RTN4	-2.414277998	3.135641722	-2.735438342	0.011140969	0.099967738	-3.345496347	DOWN
F12	-2.253071537	1.144372677	-2.734482972	0.011165909	0.100150529	-3.347558374	DOWN
CCT6A	-2.807814173	5.678754316	-2.734223277	0.011172698	0.100170431	-3.348118822	DOWN
GTF2H3	1.765368722	1.852377647	2.734037611	0.011177553	0.100172994	-3.348519489	UP
PLTP	-2.914914571	2.78374689	-2.733493645	0.011191791	0.100259602	-3.349693285	DOWN
ZNF738	2.974673639	3.970331544	2.733261961	0.01119786	0.100272994	-3.350193183	UP
C12orf76	2.768579661	4.918360599	2.732682176	0.011213062	0.10036812	-3.351444074	UP
XKR4	-0.333601881	0.227093605	-2.732089953	0.01122861	0.100466265	-3.352721651	DOWN
FUOM	-1.877919995	0.885961858	-2.731393417	0.011246922	0.100589055	-3.354224066	DOWN
CDCA8	-1.715877498	0.880816263	-2.731207707	0.011251809	0.100591723	-3.354624603	DOWN
RAE1	-2.504025275	1.850841213	-2.730343156	0.011274587	0.100726067	-3.356489066	DOWN
TSPAN5	2.028707931	2.048910328	2.730288581	0.011276026	0.100726067	-3.356606751	UP
FBXO2	2.282125154	1.56894152	2.729978494	0.011284207	0.100758089	-3.35727539	UP
LYPD5	1.866133641	1.746139748	2.729019601	0.011309542	0.100932357	-3.359342783	UP
TPH2	2.201026691	1.911074411	2.728891403	0.011312933	0.100932357	-3.359619152	UP
H1FX-AS1	2.310133295	2.207052686	2.728601424	0.011320607	0.100959733	-3.360244261	UP
ADM	-1.689791152	0.90361751	-2.727627226	0.011346424	0.101139154	-3.362344076	DOWN
F13A1	-1.603333478	0.86284335	-2.727167649	0.011358623	0.101139154	-3.36333452	DOWN
ATRX	-2.203703087	2.456749369	-2.7270657	0.01136133	0.101139154	-3.36355422	DOWN
SNRPG	-3.46362072	5.706860414	-2.726968044	0.011363925	0.101139154	-3.363764666	DOWN
ARRB2	2.885883294	2.452206348	2.72670203	0.011370994	0.101139154	-3.364337894	UP
ADCK4	-1.386867357	1.002070323	-2.726656896	0.011372194	0.101139154	-3.364435149	DOWN
CRB3	-1.203188507	0.641548947	-2.726625749	0.011373022	0.101139154	-3.364502265	DOWN
EEA1	-1.580031053	1.262661084	-2.726385277	0.011379417	0.10115499	-3.36502042	DOWN
HDAC3	-2.290981841	1.703310278	-2.7259958	0.011389783	0.101206089	-3.365859589	DOWN
C18orf54	0.070228962	0.094344059	2.725201016	0.011410962	0.101349933	-3.367571834	UP
LINC00319	0.082686619	0.102649163	2.724876078	0.011419631	0.101349933	-3.368271786	UP
SNHG9	-2.930642213	1.772104675	-2.724868225	0.011419841	0.101349933	-3.368288702	DOWN
ZNF85	3.498177527	3.244123403	2.724452105	0.011430953	0.101403035	-3.369185004	UP
ZNF583	2.254501289	2.249871169	2.724083123	0.011440814	0.101403035	-3.369979708	UP
ZCCHC24	1.939481012	1.52585832	2.724035695	0.011442082	0.101403035	-3.370081854	UP
CYP8B1	2.167944547	1.661127596	2.723951719	0.011444328	0.101403035	-3.370262709	UP
GRIK2	2.968923744	2.735400959	2.722677816	0.011478445	0.101664241	-3.373005896	UP
MYT1L	2.589587484	3.41409778	2.722098402	0.011493995	0.101760846	-3.374253359	UP
TRIP12	2.557833829	3.706615163	2.721594563	0.011507532	0.101839567	-3.375337995	UP
CKLF	-3.300982165	3.418722683	-2.721277785	0.011516051	0.10187383	-3.376019879	DOWN
VCAN	-2.897501184	2.289506495	-2.721085016	0.011521238	0.101878602	-3.376434806	DOWN
PSAT1	-2.332440822	1.616132199	-2.719631838	0.01156041	0.10215246	-3.37956219	DOWN
GINS2	-2.37230152	2.375487678	-2.71959043	0.011561528	0.10215246	-3.379651291	DOWN
PERP	-2.775115685	5.290727468	-2.719267718	0.011570245	0.102165668	-3.380345671	DOWN
SPR	-1.398017105	0.83567509	-2.719190034	0.011572344	0.102165668	-3.380512816	DOWN
PCIF1	-1.999974547	1.309460409	-2.718678086	0.011586187	0.102246704	-3.381614267	DOWN
SHPK	1.773688284	1.795512801	2.717987406	0.011604888	0.102370526	-3.383100077	UP
DSP	-2.082189021	1.965719449	-2.717668808	0.011613524	0.102405497	-3.383785384	DOWN
HNRNPH2	-2.742591498	3.440937952	-2.716760834	0.011638169	0.102581547	-3.385738206	DOWN
PRSS3P2	-1.515687426	0.703516037	-2.716279735	0.011651247	0.102655544	-3.386772783	DOWN
PRRT3	1.820477266	1.403577122	2.715016513	0.011685653	0.102917312	-3.389488799	UP
SLITRK4	1.664801249	1.421152759	2.714831548	0.011690698	0.1029204	-3.389886428	UP
ACOT11	2.093128546	3.294210054	2.713575264	0.011725023	0.103181144	-3.392586743	UP
TMEM125	-1.239796378	0.52650511	-2.713399099	0.011729844	0.103182145	-3.392965347	DOWN
MUC1	-1.911663284	1.338905173	-2.712982075	0.011741263	0.103211647	-3.393861534	DOWN
CACNB4	2.463637105	1.849385572	2.712898765	0.011743546	0.103211647	-3.394040558	UP
KLRK1	1.547345336	1.1339124	2.712687405	0.011749339	0.103211647	-3.394494738	UP
EGLN3	-1.355799856	0.81663139	-2.712574777	0.011752426	0.103211647	-3.394736749	DOWN
FAM157C	3.374332797	3.556777362	2.712417513	0.011756739	0.103211647	-3.395074663	UP
SMN2	-1.31367453	0.759597714	-2.712145081	0.011764214	0.103235925	-3.395660014	DOWN
GLTSCR2	3.332850993	7.177712577	2.711917781	0.011770454	0.103249351	-3.396148371	UP
UNC93B1	-1.223842404	0.618766141	-2.709957367	0.011824402	0.103680506	-3.400359406	DOWN
PARP3	-1.785951896	0.802005754	-2.709788296	0.011829066	0.103680506	-3.400722498	DOWN
IFT81	2.951207188	3.234887138	2.708674744	0.011859824	0.1038712	-3.403113621	UP
GALC	3.536645629	4.63985832	2.708657554	0.011860299	0.1038712	-3.403150528	UP
COX7A2	-2.569745472	8.112406793	-2.707955082	0.011879742	0.103999927	-3.404658662	DOWN
NOP9	0.07371134	0.096665644	2.707634665	0.01188862	0.104036103	-3.405346491	UP
PSMB1	-2.878594717	6.033845077	-2.706745977	0.011913277	0.104138474	-3.40725398	DOWN
UPP1	-2.659290778	3.173250723	-2.706580041	0.011917886	0.104138474	-3.407610108	DOWN
LRRC37B	2.479103365	2.002171029	2.706557089	0.011918524	0.104138474	-3.407659365	UP
GPATCH4	-2.570793156	2.805040096	-2.706416328	0.011922435	0.104138474	-3.407961454	DOWN
C17orf80	-1.476357892	0.875418628	-2.706256544	0.011926877	0.104138474	-3.408304355	DOWN
IGSF6	-2.347052851	1.22234509	-2.706186579	0.011928822	0.104138474	-3.408454501	DOWN
QSOX1	-2.196591083	3.042801952	-2.705924296	0.011936117	0.104160679	-3.409017337	DOWN
RAB31	-2.934495851	2.230535342	-2.705235482	0.011955296	0.104286528	-3.410495333	DOWN
TMEM198B	-1.5170856	0.678546453	-2.704992781	0.01196206	0.104304028	-3.411016049	DOWN
USHBP1	2.807248341	2.959389332	2.70480756	0.011967225	0.104307573	-3.411413425	UP
MAP4K5	2.833939556	3.535220097	2.703354207	0.012007824	0.104619838	-3.414530951	UP
C8orf58	0.09000068	0.107525204	2.703177055	0.012012782	0.104621448	-3.41491089	UP
PPIC	-2.607211239	2.720544925	-2.702470518	0.012032573	0.10470714	-3.416426067	DOWN
SHARPIN	-2.060241084	1.179096078	-2.702326236	0.012036618	0.10470714	-3.416735453	DOWN
DSG3	-1.794098441	1.679793422	-2.702314378	0.012036951	0.10470714	-3.416760882	DOWN
TMEFF1	0.091345375	0.108421668	2.701832727	0.012050464	0.104783114	-3.41779363	UP
LIMD1	1.776871141	1.690596016	2.701132864	0.012070126	0.104912465	-3.419294085	UP
LRPPRC	-2.199057625	2.983880395	-2.700731625	0.012081412	0.104968939	-3.420154215	DOWN
TERF2	3.067891926	4.384046939	2.699563706	0.012114319	0.105176488	-3.422657469	UP
PREX2	1.707059078	1.271141992	2.699521709	0.012115504	0.105176488	-3.422747473	UP
ZC3HAV1	2.065509112	3.482829091	2.699373231	0.012119694	0.105176488	-3.423065666	UP
ITPR3	-1.219612344	0.864372928	-2.698953964	0.012131532	0.105205911	-3.423964121	DOWN
RNF43	-2.203434374	1.629788773	-2.69891324	0.012132683	0.105205911	-3.424051384	DOWN
HLA-DQB2	-2.25564593	1.940064617	-2.698532843	0.012143434	0.105217425	-3.42486647	DOWN
ATR	2.102314679	2.745869448	2.69852661	0.012143611	0.105217425	-3.424879824	UP
LLGL2	-2.326944393	2.415683743	-2.698048402	0.012157139	0.105293027	-3.425904402	DOWN
C12orf5	-1.50269896	0.817460814	-2.697713081	0.012166634	0.105333644	-3.42662278	DOWN
SLCO1A2	3.0853403	3.145271041	2.697385483	0.012175917	0.105372395	-3.427324563	UP
CCDC50	2.899323628	3.31127883	2.696885154	0.012190107	0.105453568	-3.428396284	UP
FAM214B	-1.207901505	0.761274975	-2.696703104	0.012195274	0.10545665	-3.428786214	DOWN
PLEKHB1	-2.014581351	1.086458565	-2.696154676	0.012210853	0.105549725	-3.429960793	DOWN
ZNF57	-0.289672134	0.236344585	-2.695935447	0.012217085	0.105561973	-3.430430283	DOWN
PTGS2	2.551687151	1.748649518	2.694726151	0.012251518	0.105817784	-3.43301968	UP
LINC00460	-1.722858221	0.674048145	-2.694333169	0.012262728	0.105872884	-3.433861012	DOWN
EEF1A2	0.082823614	0.102740493	2.693963197	0.012273289	0.105922353	-3.434653018	UP
DCAF10	1.687788223	2.229660797	2.693785109	0.012278376	0.105924553	-3.435034234	UP
UQCRB	-2.334316913	6.744420437	-2.693546958	0.012285182	0.105941572	-3.435544	DOWN
GRPEL1	-2.594407485	1.76960964	-2.693335471	0.012291229	0.105952036	-3.435996671	DOWN
TIMM8B	-2.808795697	4.034518476	-2.693025941	0.012300084	0.10597824	-3.436659156	DOWN
CLSTN2	-0.29332305	0.197536422	-2.692584411	0.012312725	0.10597824	-3.43760409	DOWN
SELT	-3.05447596	3.878233356	-2.691680266	0.01233865	0.10597824	-3.439538819	DOWN
ITK	2.013833142	1.706853113	2.691109626	0.012355038	0.10597824	-3.440759714	UP
SF3B1	-2.982355276	3.876933462	-2.690770431	0.012364789	0.10597824	-3.441485358	DOWN
GRB7	-1.078522344	0.466117121	-2.690472208	0.012373369	0.10597824	-3.442123311	DOWN
SH3D19	-2.084190639	2.963225612	-2.690394881	0.012375594	0.10597824	-3.442288721	DOWN
AP1S1	-1.897602812	1.117320249	-2.690180249	0.012381773	0.10597824	-3.442747827	DOWN
MT1L	-1.563778389	0.807119126	-2.690139067	0.012382959	0.10597824	-3.442835913	DOWN
ASS1	-3.28237823	4.346125	-2.689506661	0.012401184	0.10597824	-3.444188522	DOWN
NSUN5	-1.405094761	0.843482432	-2.687492503	0.012459395	0.10597824	-3.44849529	DOWN
FASTKD2	-1.896342629	1.39840369	-2.68745972	0.012460345	0.10597824	-3.448565373	DOWN
USP43	-0.931512827	0.433605181	-2.687271715	0.012465792	0.10597824	-3.448967281	DOWN
ZG16B	-1.86141818	0.929243654	-2.686647724	0.012483886	0.10597824	-3.450301106	DOWN
PTGR1	-2.444654445	3.291831385	-2.686081371	0.012500331	0.10597824	-3.451511576	DOWN
PIAS3	-1.458695652	0.609245215	-2.685362934	0.012521221	0.10597824	-3.453046896	DOWN
RNF123	-1.638351988	0.892851999	-2.68499545	0.012531919	0.10597824	-3.45383213	DOWN
SLC27A1	1.74416223	2.170361925	2.684874631	0.012535438	0.10597824	-3.454090282	UP
FN3K	2.172001747	1.911697629	2.684542706	0.01254511	0.10597824	-3.454799466	UP
FAM72B	0.092571958	0.10923939	2.684281513	0.012552726	0.10597824	-3.455357492	UP
CD163L1	-1.696777475	0.694651738	-2.684272932	0.012552977	0.10597824	-3.455375823	DOWN
ZNF708	2.586283383	1.984721582	2.683676943	0.012570372	0.10597824	-3.45664901	UP
RGL1	-0.634868252	0.320911305	-2.683065523	0.012588241	0.10597824	-3.457954998	DOWN
EMP3	-3.158979175	3.221868454	-2.682771178	0.012596852	0.10597824	-3.458583657	DOWN
TIMM23	-2.713572681	3.31393583	-2.682699177	0.01259896	0.10597824	-3.458737431	DOWN
RPL17-C18orf32	1.585760935	1.337036172	2.682426683	0.012606938	0.10597824	-3.459319378	UP
CALR	-2.017613646	7.997926035	-2.681820593	0.012624699	0.10597824	-3.460613648	DOWN
ZNF506	2.737816365	4.656402597	2.681345653	0.012638634	0.10597824	-3.461627739	UP
TECR	-2.482503772	6.059307119	-2.681331281	0.012639056	0.10597824	-3.461658425	DOWN
CDC40	-2.194336685	2.462842366	-2.680940164	0.012650542	0.10597824	-3.462493462	DOWN
HK3	-1.628986194	0.802377639	-2.680250996	0.012670806	0.10597824	-3.463964675	DOWN
TDRKH	0.091294058	0.108387456	2.680210575	0.012671995	0.10597824	-3.464050958	UP
ZFP82	2.003981247	1.826331845	2.680079266	0.01267586	0.10597824	-3.464331245	UP
TRMT61A	-1.171924535	0.550445232	-2.679921244	0.012680512	0.10597824	-3.464668545	DOWN
ZNF830	-1.664414665	1.132456184	-2.679879444	0.012681743	0.10597824	-3.464757766	DOWN
LINC00152	-2.685186749	2.444301557	-2.679761413	0.01268522	0.10597824	-3.465009694	DOWN
LILRB2	-1.340102453	0.671573853	-2.678978648	0.012708297	0.10597824	-3.46668029	DOWN
SUB1	-3.166340275	4.666253038	-2.678198858	0.012731325	0.10597824	-3.468344268	DOWN
SP140	-1.240845269	0.59047539	-2.678170321	0.012732169	0.10597824	-3.468405158	DOWN
PLAT	-3.008593641	3.204941375	-2.677989238	0.012737522	0.10597824	-3.468791525	DOWN
CPS1	1.700221392	1.503212212	2.677923529	0.012739465	0.10597824	-3.468931723	UP
SBDS	-2.810908262	4.523591939	-2.677377843	0.012755613	0.10597824	-3.470095925	DOWN
DSEL	1.565772865	1.628223597	2.677277705	0.012758579	0.10597824	-3.470309551	UP
ZXDC	0.092689238	0.109317576	2.677155018	0.012762213	0.10597824	-3.470571276	UP
IL22RA1	-0.656099789	0.318462001	-2.676291412	0.01278782	0.10597824	-3.472413395	DOWN
DTNA	-1.323186632	0.597221826	-2.675934427	0.012798419	0.10597824	-3.473174768	DOWN
DARS	-3.267986887	3.58809759	-2.67543799	0.012813173	0.10597824	-3.474233467	DOWN
SOX4	-2.53603528	3.292232391	-2.675217696	0.012819725	0.10597824	-3.474703231	DOWN
HIST2H2BE	-1.454077721	0.603486472	-2.675025457	0.012825445	0.10597824	-3.475113149	DOWN
AGPAT2	-2.591514593	2.134507182	-2.6748106	0.012831841	0.10597824	-3.475571279	DOWN
IRF9	-1.855770656	6.351420778	-2.674240701	0.01284882	0.10597824	-3.476786351	DOWN
GREB1L	0.089514257	0.107200922	2.673623693	0.012867227	0.10597824	-3.4781017	UP
UBP1	-1.803411363	1.703621499	-2.673181163	0.012880443	0.10597824	-3.47904499	DOWN
PLXND1	3.440512942	3.411422972	2.673145664	0.012881504	0.10597824	-3.479120654	UP
GPR89B	-0.935654869	0.520600241	-2.672087725	0.012913155	0.10597824	-3.481375371	DOWN
RNF32	-1.565956896	0.633303373	-2.669988246	0.012976182	0.10597824	-3.485848381	DOWN
ARHGEF11	-1.259270212	0.815991138	-2.669902505	0.012978762	0.10597824	-3.486031014	DOWN
PDE4B	-1.030928903	0.730101033	-2.669477998	0.012991543	0.10597824	-3.486935188	DOWN
ZNF470	2.263524479	2.432297093	2.668717238	0.013014478	0.10597824	-3.488555355	UP
DUOXA1	-0.963183564	0.432500475	-2.66840991	0.013023754	0.10597824	-3.48920979	DOWN
XKR5	1.826006505	1.393313949	2.668382818	0.013024572	0.10597824	-3.48926748	UP
EFHC1	3.420901248	3.047103116	2.668174578	0.013030861	0.10597824	-3.489710886	UP
LIMK1	1.990196105	1.958395936	2.668103644	0.013033004	0.10597824	-3.489861922	UP
TDRD12	1.330751691	1.206628824	2.667925984	0.013038372	0.10597824	-3.490240194	UP
SCAND1	-1.968387366	0.812095	-2.667708343	0.013044952	0.10597824	-3.490703575	DOWN
UCHL5	-2.004169542	1.450427472	-2.667602748	0.013048145	0.10597824	-3.490928388	DOWN
COX4I1	-2.403673688	8.917147855	-2.667174663	0.013061098	0.10597824	-3.491839744	DOWN
BMX	2.883410167	2.247470532	2.667151594	0.013061797	0.10597824	-3.491888852	UP
PITX1	-1.094947423	0.544980837	-2.666667437	0.013076462	0.10597824	-3.492919477	DOWN
ROMO1	-2.863496095	8.990826484	-2.666477502	0.013082219	0.10597824	-3.493323762	DOWN
SLC25A41	1.802571626	1.307065836	2.666456412	0.013082859	0.10597824	-3.493368652	UP
KCNJ15	-1.366602239	0.570272568	-2.666395589	0.013084703	0.10597824	-3.493498113	DOWN
WDR72	-1.369769132	0.841529726	-2.665880671	0.013100326	0.10597824	-3.494594041	DOWN
RMDN3	-2.210600825	1.551577059	-2.665844967	0.01310141	0.10597824	-3.494670028	DOWN
SMARCA4	-2.605391009	3.191725237	-2.665702355	0.013105741	0.10597824	-3.494973532	DOWN
LINC00842	-1.33880455	0.575677912	-2.664940916	0.013128885	0.10597824	-3.496593868	DOWN
RPL36A	-1.892016866	8.873171442	-2.664022638	0.013156847	0.10597824	-3.49854761	DOWN
ARHGAP12	-1.540094137	0.882114828	-2.663124616	0.013184246	0.10597824	-3.500457891	DOWN
ZNF655	2.078934081	3.454421851	2.662681486	0.013197786	0.10597824	-3.50140039	UP
RBM12	-0.885984873	0.620237741	-2.662653666	0.013198636	0.10597824	-3.501459558	DOWN
RHOD	-1.389782787	0.611680077	-2.662255295	0.01321082	0.10597824	-3.502306778	DOWN
UCHL1	-1.78124604	0.693510752	-2.661070954	0.013247105	0.10597824	-3.504825109	DOWN
LRRC6	-1.325068594	0.630701267	-2.660587398	0.013261946	0.10597824	-3.505853142	DOWN
L3MBTL4	2.220320488	1.860477803	2.660342149	0.01326948	0.10597824	-3.506374498	UP
EBNA1BP2	-2.365284934	3.782704054	-2.66032643	0.013269963	0.10597824	-3.506407914	DOWN
PRPS2	-2.450327042	2.649894246	-2.660068106	0.013277902	0.10597824	-3.506957032	DOWN
EEFSEC	-1.460721035	0.649778411	-2.659768065	0.013287129	0.10597824	-3.507594793	DOWN
GPR75-ASB3	2.509576415	4.514339733	2.659336897	0.0133004	0.10597824	-3.508511204	UP
FAM53C	2.379414161	2.699477521	2.659017907	0.013310225	0.10597824	-3.509189136	UP
QKI	2.618942089	3.854591612	2.658554356	0.013324516	0.10597824	-3.510174214	UP
CDON	1.78844995	1.800828329	2.655666047	0.013413883	0.10597824	-3.516309906	UP
TAF13	-1.645739495	1.36922734	-2.655413044	0.013421737	0.10597824	-3.516847187	DOWN
KRT80	-1.693997766	1.168700752	-2.654959861	0.013435818	0.10597824	-3.5178095	DOWN
USP32P2	2.264860542	2.167471958	2.654920949	0.013437027	0.10597824	-3.517892125	UP
RPP14	2.544608865	3.143770956	2.654588961	0.013447352	0.10597824	-3.518597024	UP
DHCR7	-2.543947144	1.819971227	-2.654551086	0.01344853	0.10597824	-3.518677438	DOWN
FAM212B	2.344236878	2.0230878	2.654516376	0.01344961	0.10597824	-3.518751133	UP
NSMAF	-2.622119884	2.136459711	-2.654426154	0.013452418	0.10597824	-3.518942687	DOWN
KLK2	2.722476531	1.934808994	2.654270627	0.013457259	0.10597824	-3.519272884	UP
PRPF18	-1.448327074	0.846995932	-2.654213239	0.013459045	0.10597824	-3.519394721	DOWN
FAP	-2.161206809	1.189458322	-2.654164025	0.013460578	0.10597824	-3.519499202	DOWN
ANXA8L1	-1.098976329	0.501234868	-2.653928582	0.013467911	0.10597824	-3.519999035	DOWN
PRKG2	-0.439791263	0.254559501	-2.653757836	0.013473231	0.10597824	-3.520361503	DOWN
ZNF674	2.312000252	2.607610424	2.653296815	0.013487607	0.10597824	-3.521340118	UP
FAM122B	-0.837412694	0.529927084	-2.652147691	0.013523501	0.10597824	-3.523778962	DOWN
RGS3	-2.286939188	2.021415774	-2.651665563	0.013538587	0.10597824	-3.524802031	DOWN
PDRG1	-2.521369008	1.93573079	-2.651546951	0.013542301	0.10597824	-3.525053708	DOWN
CD83	-1.343187855	0.570489993	-2.651425757	0.013546097	0.10597824	-3.525310856	DOWN
GPC6	-0.809898026	0.380226067	-2.651281318	0.013550622	0.10597824	-3.525617318	DOWN
RNF157	2.215172192	2.845967724	2.651255529	0.01355143	0.10597824	-3.525672034	UP
MMRN1	2.322889113	2.089460148	2.651013861	0.013559005	0.10597824	-3.526184765	UP
SLC35E2B	1.964599087	3.361178761	2.650963909	0.013560571	0.10597824	-3.526290741	UP
HAS2-AS1	-1.010614936	0.445706425	-2.650674548	0.013569647	0.10597824	-3.526904621	DOWN
ZNF106	2.933595156	4.49506105	2.650186109	0.013584979	0.10597824	-3.527940755	UP
ATG16L1	-1.277188747	0.639907236	-2.649655449	0.013601656	0.10597824	-3.529066333	DOWN
SLC45A4	-1.340819649	0.573192934	-2.648920101	0.013624796	0.10597824	-3.530625864	DOWN
FAM122C	2.742043545	4.108950598	2.647967678	0.013654823	0.10597824	-3.532645407	UP
RACGAP1	-1.820709916	1.108996763	-2.647772211	0.013660993	0.10597824	-3.533059829	DOWN
TBC1D10B	2.125264042	2.661561675	2.647544568	0.013668182	0.10597824	-3.533542449	UP
FAM109B	-1.267005165	0.533264101	-2.647464744	0.013670703	0.10597824	-3.533711675	DOWN
TMEM108	1.663817453	1.552692625	2.647181843	0.013679644	0.10597824	-3.534311402	UP
STT3A	-2.511729431	4.325664321	-2.646960447	0.013686644	0.10597824	-3.53478072	DOWN
SSR2	-2.560820871	5.789029141	-2.646910148	0.013688235	0.10597824	-3.53488734	DOWN
IMMT	-2.567799984	3.144317174	-2.645202305	0.013742356	0.10597824	-3.538506856	DOWN
GNPTAB	1.955542998	2.243695683	2.643306768	0.013802658	0.10597824	-3.542522619	UP
CCDC175	-1.290133196	0.578253648	-2.642851568	0.013817176	0.10597824	-3.543486733	DOWN
IRF5	2.945651566	2.880740584	2.642678795	0.01382269	0.10597824	-3.543852642	UP
CUTA	-3.558004829	4.534107948	-2.642650014	0.013823609	0.10597824	-3.543913596	DOWN
TMEM63C	-1.557154892	0.692655581	-2.642250741	0.013836361	0.10597824	-3.544759143	DOWN
RB1	-1.663986416	1.307936423	-2.641665454	0.013855073	0.10597824	-3.545998487	DOWN
ART4	1.516091668	1.555827485	2.641417859	0.013862996	0.10597824	-3.546522724	UP
ERVFRD-1	0.085711489	0.104665743	2.641325243	0.01386596	0.10597824	-3.546718812	UP
TULP3	-1.661688598	0.99282263	-2.640929005	0.013878651	0.10597824	-3.547557696	DOWN
SOX2-OT	2.749747774	2.51913262	2.64076134	0.013884025	0.10597824	-3.547912642	UP
ZNF709	2.063873346	1.747522305	2.640568622	0.013890203	0.10597824	-3.548320608	UP
SPAG4	-2.125908626	0.91486318	-2.640151319	0.013903591	0.10597824	-3.549203945	DOWN
C8orf33	-2.380858618	1.866314985	-2.640053589	0.013906728	0.10597824	-3.549410806	DOWN
PPP1R14C	-1.466823646	0.588703287	-2.639787454	0.013915274	0.10597824	-3.5499741	DOWN
WBSCR16	-1.714704142	0.922114234	-2.639625862	0.013920465	0.10597824	-3.550316106	DOWN
ERP44	-1.748365848	2.108691077	-2.639219433	0.013933531	0.10597824	-3.551176251	DOWN
ZNF225	1.954872549	1.506865927	2.637943232	0.01397463	0.10597824	-3.553876652	UP
WDR66	2.455589363	3.012899814	2.637875376	0.013976819	0.10597824	-3.554020214	UP
ZNF660	1.906198796	2.060145678	2.637206093	0.013998421	0.10597824	-3.555436079	UP
CDC42	-2.432080957	5.445531472	-2.636839904	0.014010254	0.10597824	-3.556210663	DOWN
NXPH4	0.084964139	0.10416751	2.636617904	0.014017432	0.10597824	-3.556680223	UP
ANKRD16	2.150389056	1.944141805	2.636571054	0.014018947	0.10597824	-3.556779314	UP
RBFOX3	2.285585987	2.237168705	2.636449096	0.014022893	0.10597824	-3.557037258	UP
CXorf38	2.165775394	2.454601614	2.635819144	0.014043287	0.10597824	-3.558369517	UP
SCYL3	-1.49828352	0.825250912	-2.634825989	0.014075497	0.10597824	-3.560469531	DOWN
GZMB	-1.687533119	0.662273111	-2.634759565	0.014077654	0.10597824	-3.560609969	DOWN
FAM160A1	0.078826774	0.100075934	2.634489617	0.014086422	0.10597824	-3.561180685	UP
TAS2R8	0.088259991	0.106364745	2.634489535	0.014086425	0.10597824	-3.561180859	UP
USP18	-1.392752357	0.613967305	-2.633259969	0.014126426	0.10597824	-3.563779954	DOWN
EIF4A2	-2.373232791	6.404944529	-2.633165328	0.01412951	0.10597824	-3.56397998	DOWN
CCDC92	-1.330931388	0.726831097	-2.633073485	0.014132502	0.10597824	-3.564174089	DOWN
STX1B	1.576528972	1.351006245	2.633009918	0.014134574	0.10597824	-3.564308434	UP
TIMP4	0.08335655	0.103095784	2.632214194	0.014160532	0.10597824	-3.565990004	UP
SMOX	2.887819041	3.206392851	2.631899067	0.014170824	0.10597824	-3.566655868	UP
TMEM254	-1.994321365	1.286039178	-2.631528061	0.014182951	0.10597824	-3.567439747	DOWN
SGK2	-1.345133927	0.588413159	-2.630942008	0.014202126	0.10597824	-3.568677859	DOWN
JUNB	-2.304057777	1.741699275	-2.630613448	0.014212886	0.10597824	-3.569371917	DOWN
DIDO1	-1.828595945	1.309078275	-2.630464186	0.014217777	0.10597824	-3.569687205	DOWN
PRMT2	-2.475640907	3.14807369	-2.629603602	0.014246007	0.10597824	-3.571504828	DOWN
SELPLG	-1.318049223	0.546451922	-2.629265895	0.014257099	0.10597824	-3.572218001	DOWN
PKN3	2.890807731	1.974729905	2.628895663	0.014269269	0.10597824	-3.572999802	UP
HP1BP3	2.212096093	4.673018751	2.628794397	0.0142726	0.10597824	-3.573213628	UP
RNF122	-0.949615823	0.416300679	-2.627984202	0.014299271	0.10597824	-3.57492422	DOWN
GCSHP3	-0.800578631	0.386297233	-2.62793214	0.014300986	0.10597824	-3.57503413	DOWN
CYYR1	2.516293903	1.72505402	2.627755742	0.0143068	0.10597824	-3.57540652	UP
SPATA2	-0.859771899	0.47865224	-2.626670983	0.0143426	0.10597824	-3.577696226	DOWN
