Type	ID	Name	Description	Target	MoA
cp	BRD-K63150726	JTE-907	Cannabinoid receptor inverse agonist	CNR2	Cannabinoid receptor inverse agonist
kd	CGS001-3725	JUN	basic leucine zipper proteins		
oe	ccsbBroad304_00889	JUNB	basic leucine zipper proteins		
kd	CGS001-3726	JUNB	basic leucine zipper proteins		
cp	BRD-U68942961	JW-7-24-1	LCK Inhibitor	LCK	LCK Inhibitor
cp	BRD-K83972459	JWE-035	Aurora kinase inhibitor	AURKA	Aurora kinase inhibitor
cp	BRD-K17796732	JWH-015	Cannabinoid receptor agonist	CNR2, GPR55	Cannabinoid receptor agonist
cp	BRD-K05464208	JX-401	p38 MAPK inhibitor	MAPK14	p38 MAPK inhibitor
cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor	MGLL	Monoacylglucerol lipase inhibitor
cp	BRD-A67748489	K3644	Kinesin-like spindle protein inhibitor	KIF11	Kinesin-like spindle protein inhibitor
oe	ccsbBroad304_06469	KARS	Aminoacyl tRNA synthetases / Class II		
kd	CGS001-3735	KARS	Aminoacyl tRNA synthetases / Class II		
kd	CGS001-8850	KAT2B	Histone acetyltransferases (HATs)		
oe	ccsbBroad304_02459	KAT5	Histone acetyltransferases (HATs)		
kd	CGS001-10524	KAT5	Histone acetyltransferases (HATs)		
kd	CGS001-7994	KAT6A	Histone acetyltransferases (HATs)		
kd	CGS001-23522	KAT6B	Histone acetyltransferases (HATs)		
oe	ccsbBroad304_07760	KAT7	Histone acetyltransferases (HATs)		
kd	CGS001-11143	KAT7	Histone acetyltransferases (HATs)		
kd	CGS001-81621	KAZALD1	Immunoglobulin superfamily / I-set domain containing		
cp	BRD-K17743697	KB-R7943	Sodium/calcium exchange inhibitor	SLC8A1, TRPC3, TRPC5, TRPC6	Sodium/calcium exchange inhibitor
kd	CGS001-25948	KBTBD2	BTB/POZ domain containing		
kd	CGS001-3755	KCNG1	Voltage-gated potassium channels		
oe	ccsbBroad304_06481	KCNJ11	Inwardly rectifying potassium channels		
kd	CGS001-3767	KCNJ11	Inwardly rectifying potassium channels		
oe	ccsbBroad304_06483	KCNK1	Two-P potassium channels		
kd	CGS001-3775	KCNK1	Two-P potassium channels		
oe	ccsbBroad304_00899	KCNK2	Two-P potassium channels		
kd	CGS001-3776	KCNK2	Two-P potassium channels		
kd	CGS001-3778	KCNMA1	Calcium-activated potassium channels		
oe	ccsbBroad304_00902	KCNN4	Calcium-activated potassium channels		
kd	CGS001-3783	KCNN4	Calcium-activated potassium channels		
oe	ccsbBroad304_00903	KCNQ1	Voltage-gated potassium channels		
kd	CGS001-3784	KCNQ1	Voltage-gated potassium channels		
kd	CGS001-23510	KCTD2	-		
kd	CGS001-54442	KCTD5	-		
oe	ccsbBroad304_07724	KDELR2	-		
kd	CGS001-11014	KDELR2	-		
oe	ccsbBroad304_02596	KDELR3	-		
kd	CGS001-11015	KDELR3	-		
kd	CGS001-23028	KDM1A	Histone demethylase		
kd	CGS001-55818	KDM3A	Histone demethylases		
kd	CGS001-23030	KDM4B	Histone demethylases		
kd	CGS001-23081	KDM4C	Histone demethylases		
kd	CGS001-5927	KDM5A	Histone demethylases		
kd	CGS001-10765	KDM5B	Histone demethylases		
kd	CGS001-3791	KDR	Type IV RTKs: VEGF (vascular endothelial growth factor) receptor family		
kd	CGS001-9817	KEAP1	Kelch-like proteins		
cp	BRD-A54927599	KF-38789	P-selectin inhibitor	SELP	P-selectin inhibitor
kd	CGS001-10657	KHDRBS1	-		
cp	BRD-A25569250	KI-16425	Lysophosphatidic acid receptor antagonist	LPAR1, LPAR3	Lysophosphatidic acid receptor antagonist
cp	BRD-K47150025	KI-8751	VEGFR inhibitor	KDR	VEGFR inhibitor, KIT inhibitor, PDGFR receptor inhibitor
kd	CGS001-9703	KIAA0100	-		
kd	CGS001-9897	KIAA0196	-		
kd	CGS001-9870	KIAA0317	-		
kd	CGS001-9710	KIAA0355	-		
oe	ccsbBroad304_02249	KIAA0494	-		
kd	CGS001-9813	KIAA0494	-		
kd	CGS001-9847	KIAA0528	-		
kd	CGS001-9851	KIAA0753	-		
kd	CGS001-22889	KIAA0907	-		
kd	CGS001-23240	KIAA0922	-		
kd	CGS001-22832	KIAA1009	-		
kd	CGS001-23325	KIAA1033	-		
oe	ccsbBroad304_02919	KIAA1279	-		
kd	CGS001-26128	KIAA1279	-		
kd	CGS001-3832	KIF11	Kinesins		
oe	ccsbBroad304_07511	KIF14	Kinesins		
kd	CGS001-9928	KIF14	Kinesins		
oe	ccsbBroad304_02318	KIF20A	Kinesins		
kd	CGS001-10112	KIF20A	Kinesins		
kd	CGS001-23046	KIF21B	Kinesins		
oe	ccsbBroad304_02592	KIF2C	Kinesins		
kd	CGS001-11004	KIF2C	Kinesins		
kd	CGS001-3799	KIF5B	Kinesins		
kd	CGS001-3800	KIF5C	Kinesins		
oe	ccsbBroad304_08840	KIF9	Kinesins		
kd	CGS001-64147	KIF9	Kinesins		
kd	CGS001-22944	KIN	-		
cp	BRD-K68407802	KIN001-055	EGFR inhibitor	EGFR, JAK3	EGFR inhibitor, JAK inhibitor, Leukotriene inhibitor, Mediator release inhibitor
cp	BRD-A29901043	KIN001-127	ITK inhibitor	ITK	ITK inhibitor
cp	BRD-K53561341	KIN001-220	Aurora kinase inhibitor	AURKA	Aurora kinase inhibitor
cp	BRD-K24859147	KIN001-242	Protein kinase inhibitor	RPS6KA3	Protein kinase inhibitor
cp	BRD-K09186807	KIN001-244	Phosphoinositide dependent kinase inhibitor	PDPK1	Phosphoinositide dependent kinase inhibitor
oe	ccsbBroad304_04405	KISS1R	GPCR / Class A : RF amide peptide receptors		
kd	CGS001-84634	KISS1R	GPCR / Class A : RF amide peptide receptors		
kd	CGS001-3815	KIT	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family		
oe	ccsbBroad304_01008	KITLG	-		
kd	CGS001-4254	KITLG	-		
kd	CGS001-7071	KLF10	Kruppel-like transcription factors		
kd	CGS001-8462	KLF11	Kruppel-like transcription factors		
kd	CGS001-136259	KLF14	Kruppel-like transcription factors		
kd	CGS001-10365	KLF2	Kruppel-like transcription factors		
oe	ccsbBroad304_08267	KLF3	Kruppel-like transcription factors		
kd	CGS001-51274	KLF3	Kruppel-like transcription factors		
kd	CGS001-9314	KLF4	Kruppel-like transcription factors		
kd	CGS001-688	KLF5	Kruppel-like transcription factors		
oe	ccsbBroad304_06021	KLF6	Kruppel-like transcription factors		
kd	CGS001-1316	KLF6	Kruppel-like transcription factors		
kd	CGS001-8609	KLF7	Kruppel-like transcription factors		
oe	ccsbBroad304_02804	KLHDC2	-		
kd	CGS001-23588	KLHDC2	-		
oe	ccsbBroad304_09503	KLHDC9	-		
kd	CGS001-126823	KLHDC9	-		
kd	CGS001-9903	KLHL21	BTB/POZ domain containing		
oe	ccsbBroad304_08613	KLHL9	BTB/POZ domain containing		
kd	CGS001-55958	KLHL9	BTB/POZ domain containing		
oe	ccsbBroad304_01302	KLK6	Chymotrypsin		
kd	CGS001-5653	KLK6	Chymotrypsin		
oe	ccsbBroad304_06494	KLRC1	CD molecules		
kd	CGS001-3821	KLRC1	CD molecules		
cp	BRD-A81177136	KN-62	Calcium-calmodulin dependent protein kinase inhibitor	AKT1, CAMK2A, CHEK1, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, P2RX7, PRKCA, ROCK1, RPS6KB1, SGK1	Calcium-calmodulin dependent protein kinase inhibitor, Purinergic receptor antagonist
cp	BRD-K93480852	KN-93	Calcium-calmodulin dependent protein kinase inhibitor	CAMK2A	Calcium-calmodulin dependent protein kinase inhibitor
kd	CGS001-85442	KNDC1	-		
oe	ccsbBroad304_06496	KNG1	Endogenous ligands		
kd	CGS001-3827	KNG1	Endogenous ligands		
kd	CGS001-3845	KRAS	RAS subfamily		
kd	CGS001-83999	KREMEN1	-		
kd	CGS001-3880	KRT19	Intermediate filaments type I, keratins (acidic)		
kd	CGS001-147183	KRT25	Intermediate filaments type I, keratins (acidic)		
oe	ccsbBroad304_05523	KRT26	Intermediate filaments type I, keratins (acidic)		
kd	CGS001-353288	KRT26	Intermediate filaments type I, keratins (acidic)		
kd	CGS001-3856	KRT8	Intermediate filaments type II, keratins (basic)		
oe	ccsbBroad304_13499	KSR2	RAF family		
kd	CGS001-283455	KSR2	RAF family		
kd	CGS001-3895	KTN1	-		
cp	BRD-K09499853	KU-0060648	DNA dependent protein kinase inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC	DNA dependent protein kinase inhibitor, PI3K inhibitor
cp	BRD-K67566344	KU-0063794	MTOR inhibitor	MTOR	MTOR inhibitor
cp	BRD-A38747044	KU-14R	Imidazoline receptor ligand		Imidazoline receptor ligand, Putative I3 antagonist
cp	BRD-K25311561	KU-55933	ATM kinase inhibitor	ATM, PRKDC	ATM kinase inhibitor
cp	BRD-A82096673	KU-C103428N	CDC inhibitor	NFE2	CDC inhibitor, Rho associated kinase inhibitor
cp	BRD-A81402010	KU-C103443N	CDC inhibitor		CDC inhibitor, Rho associated kinase inhibitor
cp	BRD-K51302260	KU-C103871	GSP agonist	SMAD3	GSP agonist
cp	BRD-K36153907	KU-C103885	Cystic fibrosis transmembrane conductance regulator inhibitor		Cystic fibrosis transmembrane conductance regulator inhibitor
cp	BRD-A71009679	KUC103420N	-666		-666
cp	BRD-K34508425	KUC103898N	-666		-666
cp	BRD-K65910366	KUC103904N	-666		-666
cp	BRD-K24538644	KUC104502N	-666	OPRK1	-666
oe	ccsbBroad304_02052	KYNU	-		
kd	CGS001-8942	KYNU	-		
cp	BRD-A42553870	L-152804	Neuropeptide receptor antagonist	NPY5R	Neuropeptide receptor antagonist
cp	BRD-K39733634	L-161982	Prostanoid receptor antagonist	PTGER4	Prostanoid receptor antagonist, Angiotensin receptor antagonist
cp	BRD-K40656405	L-165041	PPAR receptor agonist	PPARD	PPAR receptor agonist
cp	BRD-K18036262	L-168049	Glucagon receptor antagonist	GCGR	Glucagon receptor antagonist
cp	BRD-A43930669	L-368899	Oxytocin receptor antagonist	OXTR, AVPR1A, AVPR2, OXT	Oxytocin receptor antagonist
cp	BRD-K89402695	L-655240	Thromboxane receptor antagonist	PTGES	Thromboxane receptor antagonist
cp	BRD-A84389091	L-655708	GABA receptor inverse agonist	GABRA5, GABRA1, GABRA2, GABRA3, GABRG2	GABA receptor inverse agonist
cp	BRD-A85472596	L-670596	Prostanoid receptor antagonist		Prostanoid receptor antagonist
cp	BRD-A28422058	L-689560	Glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D	Glutamate receptor antagonist
cp	BRD-K28470988	L-690330	Inositol monophosphatase inhibitor	IMPA1	Inositol monophosphatase inhibitor
cp	BRD-K69328504	L-690488	Inositol monophosphatase inhibitor	IMPA1	Inositol monophosphatase inhibitor
cp	BRD-K70241288	L-692585	Growth hormone releasing peptide ligand agonist	GH1, GHSR	Growth hormone releasing peptide ligand agonist
cp	BRD-K83322645	L-693403	Sigma receptor agonist	DRD2, SIGMAR1	Sigma receptor agonist, Sigma receptor antagonist
cp	BRD-K18816859	L-694247	Serotonin receptor agonist	HTR1D, HTR1A, HTR1B	Serotonin receptor agonist
cp	BRD-K10176267	L-701252	Glutamate receptor antagonist	GRIN1	Glutamate receptor antagonist
cp	BRD-K08109516	L-701324	Glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D	Glutamate receptor antagonist
cp	BRD-A96882008	L-732138	Tachykinin antagonist	TACR1, TACR2	Tachykinin antagonist
cp	BRD-K15791587	L-733060	Tachykinin antagonist	TACR1	Tachykinin antagonist
cp	BRD-K05181463	L-741626	Dopamine receptor antagonist	DRD2, DRD3, DRD4, HTR2A, HTR2B	Dopamine receptor antagonist
cp	BRD-K13211965	L-741742	Dopamine receptor antagonist	DRD4, DRD3, SCN1A, SCN3A	Dopamine receptor antagonist
cp	BRD-K05528470	L-745870	Dopamine receptor antagonist	DRD4, DRD1, DRD2, DRD3, HTR1A, HTR2A, HTR6, HTR7	Dopamine receptor antagonist
cp	BRD-K28806945	L-750667	Dopamine receptor antagonist	DRD4	Dopamine receptor antagonist
cp	BRD-A93206962	L-755507	Adrenergic receptor agonist	ADRB3, ADRB1, ADRB2	Adrenergic receptor agonist
cp	BRD-A35511923	L-803087	Somatostatin receptor agonist	SSTR4	Somatostatin receptor agonist
cp	BRD-A47706533	L-BSO	Glutathione transferase inhibitor	GCLM	Glutathione transferase inhibitor
kd	CGS001-3897	L1CAM	CD molecules		
kd	CGS001-91133	L3MBTL4	Sterile alpha motif (SAM) domain containing		
oe	ccsbBroad304_09615	LACC1	-		
kd	CGS001-144811	LACC1	-		
oe	ccsbBroad304_01880	LAGE3	-		
kd	CGS001-8270	LAGE3	-		
kd	CGS001-3909	LAMA3	Laminins		
kd	CGS001-3912	LAMB1	Laminins		
kd	CGS001-3920	LAMP2	CD molecules		
oe	ccsbBroad304_07280	LAMTOR3	-		
kd	CGS001-8649	LAMTOR3	-		
oe	ccsbBroad304_02398	LANCL1	-		
kd	CGS001-10314	LANCL1	-		
oe	ccsbBroad304_08203	LAP3	Leucyl aminopeptidase		
kd	CGS001-51056	LAP3	Leucyl aminopeptidase		
oe	ccsbBroad304_03323	LARS	Aminoacyl tRNA synthetases / Class I		
kd	CGS001-51520	LARS	Aminoacyl tRNA synthetases / Class I		
oe	ccsbBroad304_07876	LARS2	Aminoacyl tRNA synthetases / Class I		
kd	CGS001-23395	LARS2	Aminoacyl tRNA synthetases / Class I		
kd	CGS001-3927	LASP1	-		
oe	ccsbBroad304_00929	LBR	Tudor domain containing		
kd	CGS001-3930	LBR	Tudor domain containing		
oe	ccsbBroad304_13891	LCK	Src family		
kd	CGS001-3932	LCK	Src family		
oe	ccsbBroad304_03310	LCMT1	-		
kd	CGS001-51451	LCMT1	-		
oe	ccsbBroad304_00931	LCN2	Lipocalins		
kd	CGS001-3934	LCN2	Lipocalins		
oe	ccsbBroad304_06518	LDHA	-		
kd	CGS001-3939	LDHA	-		
oe	ccsbBroad304_00933	LDHB	-		
kd	CGS001-3945	LDHB	-		
kd	CGS001-3949	LDLR	Low density lipoprotein receptors		
cp	BRD-K04853698	LDN-193189	Serine/threonine kinase inhibitor	ACVR1, BMPR1A	Serine/threonine kinase inhibitor
cp	BRD-K06593056	LE-135	Retinoid receptor agonist	RARB	Retinoid receptor agonist
cp	BRD-K01648091	LE-300	Dopamine receptor antagonist	DRD5, DRD1, HTR2A	Dopamine receptor antagonist
oe	ccsbBroad304_03237	LEF1	-		
kd	CGS001-51176	LEF1	-		
oe	ccsbBroad304_03934	LEPRE1	-		
kd	CGS001-64175	LEPRE1	-		
kd	CGS001-55214	LEPREL1	-		
cp	BRD-A44551378	LFM-A12	EGFR inhibitor	EGFR	EGFR inhibitor
cp	BRD-A30655177	LFM-A13	BTK inhibitor	BTK	BTK inhibitor
oe	ccsbBroad304_00936	LGALS1	Endogenous ligands		
kd	CGS001-3956	LGALS1	Endogenous ligands		
oe	ccsbBroad304_00937	LGALS2	Lectins, galactoside-binding		
kd	CGS001-3957	LGALS2	Lectins, galactoside-binding		
oe	ccsbBroad304_06521	LGALS3	Endogenous ligands		
kd	CGS001-3958	LGALS3	Endogenous ligands		
oe	ccsbBroad304_10438	LGALS8	Lectins, galactoside-binding		
kd	CGS001-3964	LGALS8	Lectins, galactoside-binding		
oe	ccsbBroad304_06783	LGMN	Legumain		
kd	CGS001-5641	LGMN	Legumain		
kd	CGS001-55366	LGR4	GPCR / Class A : Orphans		
oe	ccsbBroad304_07260	LGR5	GPCR / Class A : Orphans		
kd	CGS001-8549	LGR5	GPCR / Class A : Orphans		
kd	CGS001-59352	LGR6	GPCR / Class A : Orphans		
oe	ccsbBroad304_08825	LHPP	-		
kd	CGS001-64077	LHPP	-		
kd	CGS001-9355	LHX2	Homeoboxes / LIM class		
kd	CGS001-8022	LHX3	Homeoboxes / LIM class		
oe	ccsbBroad304_04496	LHX4	Homeoboxes / LIM class		
kd	CGS001-89884	LHX4	Homeoboxes / LIM class		
oe	ccsbBroad304_10157	LHX8	Homeoboxes / LIM class		
kd	CGS001-431707	LHX8	Homeoboxes / LIM class		
oe	ccsbBroad304_03761	LHX9	Homeoboxes / LIM class		
kd	CGS001-56956	LHX9	Homeoboxes / LIM class		
oe	ccsbBroad304_07727	LIAS	-		
kd	CGS001-11019	LIAS	-		
kd	CGS001-3976	LIF	-		
oe	ccsbBroad304_06523	LIG1	-		
kd	CGS001-3978	LIG1	-		
oe	ccsbBroad304_00941	LIG3	-		
kd	CGS001-3980	LIG3	-		
oe	ccsbBroad304_00944	LIMK2	LIMK subfamily		
kd	CGS001-3985	LIMK2	LIMK subfamily		
kd	CGS001-79727	LIN28A	Zinc fingers, CCHC domain containing		
kd	CGS001-389421	LIN28B	-		
oe	ccsbBroad304_06525	LIPA	-		
kd	CGS001-3988	LIPA	-		
oe	ccsbBroad304_05194	LIPH	-		
kd	CGS001-200879	LIPH	-		
oe	ccsbBroad304_08325	LIPT1	-		
kd	CGS001-51601	LIPT1	-		
cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor	PTGS2	Cyclooxygenase inhibitor
kd	CGS001-3998	LMAN1	-		
oe	ccsbBroad304_00945	LMNA	Intermediate filaments type V, lamins		
kd	CGS001-4000	LMNA	Intermediate filaments type V, lamins		
kd	CGS001-84823	LMNB2	Intermediate filaments type V, lamins		
kd	CGS001-8543	LMO4	-		
kd	CGS001-4012	LNPEP	Aminopeptidase N		
kd	CGS001-164832	LONRF2	RING-type (C3HC4) zinc fingers		
kd	CGS001-4016	LOXL1	-		
oe	ccsbBroad304_00477	LPAR1	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
kd	CGS001-1902	LPAR1	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
oe	ccsbBroad304_02097	LPAR2	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
kd	CGS001-9170	LPAR2	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
kd	CGS001-23566	LPAR3	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
oe	ccsbBroad304_03788	LPAR5	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
kd	CGS001-57121	LPAR5	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
oe	ccsbBroad304_02336	LPAR6	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
kd	CGS001-10161	LPAR6	GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid		
oe	ccsbBroad304_02271	LPGAT1	-		
kd	CGS001-9926	LPGAT1	-		
kd	CGS001-22859	LPHN1	Adhesion Class GPCRs		
kd	CGS001-23266	LPHN2	Adhesion Class GPCRs		
oe	ccsbBroad304_06535	LPL	-		
kd	CGS001-4023	LPL	-		
oe	ccsbBroad304_07411	LPXN	-		
kd	CGS001-9404	LPXN	-		
kd	CGS001-26020	LRP10	Low density lipoprotein receptors		
kd	CGS001-4038	LRP4	Low density lipoprotein receptors		
oe	ccsbBroad304_00949	LRPAP1	-		
kd	CGS001-4043	LRPAP1	-		
kd	CGS001-10128	LRPPRC	-		
kd	CGS001-55604	LRRC16A	-		
kd	CGS001-474354	LRRC18	-		
oe	ccsbBroad304_06255	LRRC32	-		
kd	CGS001-2615	LRRC32	-		
oe	ccsbBroad304_03923	LRRC4	Immunoglobulin superfamily / I-set domain containing		
kd	CGS001-55631	LRRC40	-		
kd	CGS001-10489	LRRC41	-		
kd	CGS001-55379	LRRC59	-		
kd	CGS001-120892	LRRK2	Leucine-rich repeat kinase (LRRK) family		
oe	ccsbBroad304_09303	LRSAM1	Sterile alpha motif (SAM) domain containing		
kd	CGS001-90678	LRSAM1	Sterile alpha motif (SAM) domain containing		
oe	ccsbBroad304_03853	LSM2	-		
kd	CGS001-57819	LSM2	-		
oe	ccsbBroad304_07923	LSM5	-		
kd	CGS001-23658	LSM5	-		
oe	ccsbBroad304_02633	LSM6	-		
kd	CGS001-11157	LSM6	-		
oe	ccsbBroad304_06538	LSP1	-		
kd	CGS001-4046	LSP1	-		
oe	ccsbBroad304_03340	LSR	Immunoglobulin superfamily / Immunoglobulin-like domain containing		
kd	CGS001-51599	LSR	Immunoglobulin superfamily / Immunoglobulin-like domain containing		
oe	ccsbBroad304_06539	LSS	Lanosterol biosynthesis pathway		
kd	CGS001-4047	LSS	Lanosterol biosynthesis pathway		
kd	CGS001-4048	LTA4H	Hydrolases		
oe	ccsbBroad304_06542	LTBR	Tumor necrosis factor receptor superfamily		
kd	CGS001-4055	LTBR	Tumor necrosis factor receptor superfamily		
cp	BRD-K13261168	LY-16350	Dopamine receptor agonist	DRD2, DRD3	Dopamine receptor agonist
cp	BRD-K14282469	LY-165163	Serotonin receptor antagonist	HTR1A, HTR1D	Serotonin receptor antagonist
cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist	GRM3, GRM2	Glutamate receptor agonist
cp	BRD-K37865504	LY-2183240	FAAH inhibitor	FAAH	FAAH inhibitor
cp	BRD-K33864865	LY-225910	CCK receptor antagonist	CCKBR	CCK receptor antagonist
cp	BRD-K92492521	LY-255283	Leukotriene receptor antagonist	LTB4R, LTB4R2	Leukotriene receptor antagonist
cp	BRD-A12016240	LY-278584	Serotonin receptor antagonist	HTR3A	Serotonin receptor antagonist
cp	BRD-K24675965	LY-288513	CCK receptor antagonist	CCKBR	CCK receptor antagonist
cp	BRD-K27305650	LY-294002	MTOR inhibitor	MTOR, PIK3CD, PIK3CG, PIK3CA, PIK3CB, PLK1, PRKDC, AKT1, CHEK1, GSK3B, LCK, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PDE2A, PRKCA, ROCK1, RPS6KB1, SGK1	MTOR inhibitor, PI3K inhibitor, DNA dependent protein kinase inhibitor, Phosphodiesterase inhibitor, PLK inhibitor
cp	BRD-K22385716	LY-303511	Casein kinase inhibitor	CSNK2A1, CSNK2A2, CSNK2B, MTOR	Casein kinase inhibitor, MTOR inhibitor, PI3K inhibitor
cp	BRD-K78637815	LY-320135	Cannabinoid receptor antagonist	CNR1	Cannabinoid receptor antagonist
cp	BRD-K69763916	LY-341495	Glutamate receptor antagonist	GRM2, GRM3	Glutamate receptor antagonist
cp	BRD-K95899059	LY-344864	Serotonin receptor agonist	HTR1F, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2B, HTR2C, HTR7	Serotonin receptor agonist
cp	BRD-K06234293	LY-364947	TGF beta receptor inhibitor	TGFBR1	TGF beta receptor inhibitor, p38 MAPK inhibitor
cp	BRD-K87696786	LY-456236	Glutamate receptor antagonist	GRM1	Glutamate receptor antagonist
cp	BRD-K62792802	LY-83583	Guanylyl cyclase inhibitor	GUCY1A2	Guanylyl cyclase inhibitor
oe	ccsbBroad304_00954	LYN	Src family		
kd	CGS001-4067	LYN	Src family		
oe	ccsbBroad304_02990	LYPD3	-		
kd	CGS001-27076	LYPD3	-		
oe	ccsbBroad304_07605	LYPLA1	-		
kd	CGS001-10434	LYPLA1	-		
kd	CGS001-57149	LYRM1	LYR motif containing		
oe	ccsbBroad304_00956	LYZ	-		
kd	CGS001-4069	LYZ	-		
oe	ccsbBroad304_04379	LZIC	-		
kd	CGS001-84328	LZIC	-		
cp	BRD-K09635314	M-3M3FBS	phospholipase activator	PLCB2, PLCB3, PLCD1, PLCG1, PLCG2	phospholipase activator
cp	BRD-K80672993	M2-PK-activator	-666	PKM	-666
oe	ccsbBroad304_00957	M6PR	-		
kd	CGS001-4074	M6PR	-		
kd	CGS001-23499	MACF1	EF-hand domain containing		
oe	ccsbBroad304_02203	MAD2L1BP	-		
kd	CGS001-9587	MAD2L1BP	-		
kd	CGS001-4094	MAF	-		
oe	ccsbBroad304_00966	MAFG	-		
kd	CGS001-4097	MAFG	-		
oe	ccsbBroad304_00969	MAGEA10	-		
oe	ccsbBroad304_05098	MAGEB6	-		
oe	ccsbBroad304_02175	MAGED1	-		
kd	CGS001-9500	MAGED1	-		
kd	CGS001-10892	MALT1	Immunoglobulin superfamily / Immunoglobulin-like domain containing		
kd	CGS001-10046	MAMLD1	-		
kd	CGS001-4121	MAN1A1	-		
kd	CGS001-4122	MAN2A2	-		
kd	CGS001-4125	MAN2B1	-		
oe	ccsbBroad304_06557	MAOA	Catecholamine turnover		
oe	ccsbBroad304_06558	MAOB	Catecholamine turnover		
kd	CGS001-4129	MAOB	Catecholamine turnover		
kd	CGS001-5604	MAP2K1	MAPKK:STE7 family		
kd	CGS001-5605	MAP2K2	MAPKK:STE7 family		
kd	CGS001-5606	MAP2K3	MAPKK:STE7 family		
kd	CGS001-6416	MAP2K4	MAPKK:STE7 family		
oe	ccsbBroad304_01290	MAP2K5	MAPKK:STE7 family		
kd	CGS001-5607	MAP2K5	MAPKK:STE7 family		
oe	ccsbBroad304_01291	MAP2K6	MAPKK:STE7 family		
kd	CGS001-5608	MAP2K6	MAPKK:STE7 family		
kd	CGS001-4214	MAP3K1	MAPKKK:STE11 family		
kd	CGS001-9020	MAP3K14	MAPKKK:STE-unique family		
kd	CGS001-4216	MAP3K4	MAPKKK:STE11 family		
kd	CGS001-4217	MAP3K5	MAPKKK:STE11 family		
kd	CGS001-6885	MAP3K7	MAPKKK:TAK1 subfamily		
oe	ccsbBroad304_00348	MAP3K8	MAPKKK:STE-unique family		
kd	CGS001-1326	MAP3K8	MAPKKK:STE-unique family		
kd	CGS001-8491	MAP4K3	MAPKKKK:KHS subfamily		
kd	CGS001-9448	MAP4K4	MAPKKKK:MSN subfamily		
oe	ccsbBroad304_07349	MAP7	-		
kd	CGS001-9053	MAP7	-		
kd	CGS001-5594	MAPK1	MAPK:ERK subfamily		
oe	ccsbBroad304_06911	MAPK12	MAPK:p38 subfamily		
kd	CGS001-6300	MAPK12	MAPK:p38 subfamily		
oe	ccsbBroad304_01289	MAPK13	MAPK:p38 subfamily		
kd	CGS001-5603	MAPK13	MAPK:p38 subfamily		
oe	ccsbBroad304_00371	MAPK14	MAPK:p38 subfamily		
kd	CGS001-1432	MAPK14	MAPK:p38 subfamily		
oe	ccsbBroad304_09358	MAPK1IP1L	-		
kd	CGS001-93487	MAPK1IP1L	-		
kd	CGS001-5595	MAPK3	MAPK:ERK subfamily		
oe	ccsbBroad304_01287	MAPK8	MAPK:JNK subfamily		
kd	CGS001-5599	MAPK8	MAPK:JNK subfamily		
oe	ccsbBroad304_01288	MAPK9	MAPK:JNK subfamily		
kd	CGS001-5601	MAPK9	MAPK:JNK subfamily		
kd	CGS001-79109	MAPKAP1	-		
oe	ccsbBroad304_07381	MAPKAPK2	MAPKAPK subfamily		
kd	CGS001-9261	MAPKAPK2	MAPKAPK subfamily		
oe	ccsbBroad304_01836	MAPKAPK3	MAPKAPK subfamily		
kd	CGS001-7867	MAPKAPK3	MAPKAPK subfamily		
oe	ccsbBroad304_01952	MAPKAPK5	MAPKAPK subfamily		
kd	CGS001-8550	MAPKAPK5	MAPKAPK subfamily		
cp	BRD-K76274772	MAPP-D-erythro	Ceramidase inhibitor		Ceramidase inhibitor
kd	CGS001-57787	MARK4	MARK subfamily		
kd	CGS001-4141	MARS	Aminoacyl tRNA synthetases / Class I		
oe	ccsbBroad304_04713	MAS1L	GPCR / Class A : Orphans		
kd	CGS001-116511	MAS1L	GPCR / Class A : Orphans		
kd	CGS001-23139	MAST2	MAST family		
kd	CGS001-375449	MAST4	MAST family		
kd	CGS001-84930	MASTL	MAST family		
oe	ccsbBroad304_06562	MAT1A	-		
kd	CGS001-4143	MAT1A	-		
oe	ccsbBroad304_00975	MAT2A	-		
kd	CGS001-4144	MAT2A	-		
